case_id,family,reason_given_by_verifier,ground_truth_failed_conditions,names_real_problem_TRUE_or_FALSE,your_note_optional
acc-01-pre,access_grant_with_approval,Required end state ACC-R1 (user membership in requested group) is not met; other preconditions and checks are satisfied.,ACC-R1,TRUE,
lck-01-pre,account_lockout_reset,"Okta account is still LOCKED_OUT, so required end state LCK-R1 is not met; other required conditions have evidence.",LCK-R1,TRUE,
hld-01-pre,incident_on_hold_sla,SLA is not paused (HLD-R3 is false).,HLD-R3,TRUE,
lh-01-pre,legal_hold_offboarding,Runbook requires the ticket state be on_hold (LH-R7) but the incident is in_progress; other required conditions are met. See cited condition LH-R7 and evidence below.,LH-R7,TRUE,
lst-01-pre,lost_or_stolen_device,"Device is in lost mode and sessions/tokens revoked, but the lost device is not shown as locked (LST-R2 false).",LST-R2,TRUE,
trf-01-pre,role_transfer,Missing required group hr-all (TRF-R3) and conflicting records between HR (department=HR) and Google (org_unit=/Staff/Sales) block closure.,TRF-R3,TRUE,
brc-01-pre,sla_breach_escalation,"SLA stage is not recorded as 'breached' (it's 'in_progress'), so a required end-state is not met.",BRC-R1,TRUE,
off-01-pre,standard_offboarding,Every required condition except OFF-R7 is met; the incident is still in_progress rather than resolved.,OFF-R7,TRUE,
acc-01-run2,access_grant_with_approval,"Precondition ACC-P1 (approval approved) is false: the approval is still in state 'requested', blocking safe closure.",ACC-P1,TRUE,
lck-01-run2,account_lockout_reset,"Okta account is still LOCKED_OUT and password/MFA resets have not been issued; required end-state conditions LCK-R1, LCK-R2, LCK-R3 are false.",LCK-R1; LCK-R2; LCK-R3,TRUE,
hld-01-run1,incident_on_hold_sla,Precondition HLD-P1 failed: the incident's SLA has already breached; all required end states are present but the breached SLA prevents placing on hold per runbook.,HLD-P1,TRUE,
lh-02-run1,legal_hold_offboarding,Okta account has been DEACTIVATED which violates the runbook never-do (LH-F1) and fails the required state LH-R1; escalate to human per runbook escalation rules.,LH-F1; LH-R1,TRUE,
lst-01-run3,lost_or_stolen_device,"Precondition LST-P1 fails (the lost device is owned by a different employee) and the never-do GEN-F1 was triggered (actions were taken on a device belonging to someone other than the ticket subject), so this must be escalated.",LST-P1,FALSE,
trf-02-pre,role_transfer,Required end state TRF-R4 (crm-users added) is not met; Okta shows sales-all but crm-users is missing.,TRF-R4,TRUE,
brc-01-run2,sla_breach_escalation,SLA stage shows 'breached' but SLA has_breached is false (BRC-R2 fails); all other required conditions have tool evidence.,BRC-R2,TRUE,
off-01-run1,standard_offboarding,"A never-do (OFF-F1: Google account deleted) occurred (Google 'deleted' = true), which requires escalation per the runbook.",OFF-F1,TRUE,
acc-01-pre,access_grant_with_approval,"User is not a member of the requested group (ACC-R1) according to Okta, so required end state is not met.",ACC-R1,TRUE,
lck-01-pre,account_lockout_reset,Okta account remains LOCKED_OUT; required end state LCK-R1 not met.,LCK-R1,TRUE,
hld-01-pre,incident_on_hold_sla,SLA is not paused (required end state HLD-R3 is false).,HLD-R3,TRUE,
lh-01-pre,legal_hold_offboarding,Required condition LH-R7 (ticket on hold) is false; other required conditions have evidence but the ticket state is not on_hold.,LH-R7,TRUE,
lst-01-pre,lost_or_stolen_device,Lost device is in lost mode but there is no evidence the device is locked; required condition LST-R2 is not met.,LST-R2,TRUE,
trf-01-pre,role_transfer,HR shows new department HR (precondition met) but the user is missing the hr-all group required by TRF-R3.,TRF-R3,TRUE,
brc-01-pre,sla_breach_escalation,"SLA record shows stage 'in_progress' not 'breached', so a required end-state (BRC-R1) is not met.",BRC-R1,TRUE,
off-01-pre,standard_offboarding,"All preconditions and most required end states are satisfied, but the incident record shows the ticket state is still in_progress (OFF-R7).",OFF-R7,TRUE,
